amount,entity_id,growth,name,row_num,sheet,type
1000,20,1.5,木材,102,建筑,资源
800,20,1.5,石头,103,建筑,资源
200,20,1.5,铜,104,建筑,资源
150,20,1.5,铁,105,建筑,资源
100,20,1.5,工具,106,建筑,资源
1,20,,泰坦的建筑,107,建筑,研究
500,21,1.3,黄金,111,建筑,资源
500,21,1.3,木材,112,建筑,资源
250,21,1.3,工具,113,建筑,资源
1,21,,饲育,114,建筑,研究
1400,22,1.2,食物,115,建筑,资源
1200,22,1.4,木材,116,建筑,资源
600,22,1.4,信念,117,建筑,资源
1,22,,圣谷,118,建筑,祈祷
300,23,1.7,黄金,121,建筑,资源
750,23,1.7,木材,122,建筑,资源
350,23,1.5,工具,123,建筑,资源
1,23,,饲育,124,建筑,研究
1,23,,亡者兽群,125,建筑,传承
1500,24,1.4,黄金,126,建筑,资源
1500,24,1.4,木材,127,建筑,资源
1000,24,1.4,石头,128,建筑,资源
500,24,1.4,铜,129,建筑,资源
500,24,1.4,铁,130,建筑,资源
500,24,1.4,工具,131,建筑,资源
1,24,,封建时代,132,建筑,研究
1500,25,1.4,黄金,133,建筑,资源
1200,25,1.4,木材,134,建筑,资源
1000,25,1.4,石头,135,建筑,资源
500,25,1.4,铜,136,建筑,资源
500,25,1.4,铁,137,建筑,资源
500,25,1.4,工具,138,建筑,资源
1,25,,金属铸造,139,建筑,研究
1400,26,1.8,黄金,140,建筑,资源
800,26,1.8,木材,141,建筑,资源
600,26,1.8,石头,142,建筑,资源
100,26,1.8,铜,143,建筑,资源
50,26,1.8,铁,144,建筑,资源
150,26,1.8,工具,145,建筑,资源
1,26,,金属铸造,146,建筑,研究
1,26,,诸神的机器,147,建筑,传承
1000,27,1.4,黄金,148,建筑,资源
800,27,1.4,木材,149,建筑,资源
600,27,1.4,石头,150,建筑,资源
500,27,1.4,铁,151,建筑,资源
500,27,1.4,工具,152,建筑,资源
1,27,,建筑学,153,建筑,研究
1200,28,1.4,黄金,154,建筑,资源
500,28,1.4,工具,155,建筑,资源
200,28,1.4,原料,156,建筑,资源
1,28,,食物保存,157,建筑,研究
2400,29,1.4,黄金,158,建筑,资源
500,29,1.4,工具,159,建筑,资源
200,29,1.4,原料,160,建筑,资源
1,29,,锻钢,161,建筑,研究
2500,30,1.5,黄金,162,建筑,资源
1200,30,1.5,木材,163,建筑,资源
1200,30,1.5,石头,164,建筑,资源
500,30,1.5,工具,165,建筑,资源
1,30,,工匠公会,166,建筑,研究
8000,31,1.4,黄金,167,建筑,资源
3500,31,1.4,铜,168,建筑,资源
3000,31,1.4,铁,169,建筑,资源
2000,31,1.4,工具,170,建筑,资源
1,31,,化学,171,建筑,研究
2500,32,1.4,黄金,172,建筑,资源
2500,32,1.3,木材,173,建筑,资源
2500,32,1.3,石头,174,建筑,资源
500,32,1.2,原料,175,建筑,资源
500,32,1.2,补给,176,建筑,资源
1,32,,生产制造,177,建筑,研究
12000,33,1.2,黄金,178,建筑,资源
1500,33,1.2,法力,179,建筑,资源
1200,33,1.2,钢,180,建筑,资源
600,33,1.2,硝石,181,建筑,资源
1,33,,法力引擎,182,建筑,研究
12000,34,1.3,黄金,183,建筑,资源
1500,34,1.3,钢,184,建筑,资源
1200,34,1.2,原料,185,建筑,资源
500,34,1.2,钠红石,186,建筑,资源
1,34,,机械化,187,建筑,研究
25000,35,1.2,黄金,188,建筑,资源
15000,35,1.2,铁,189,建筑,资源
7000,35,1.2,钢,190,建筑,资源
7000,35,1.2,原料,191,建筑,资源
5000,35,1.2,钠红石,192,建筑,资源
1,35,,装配线,193,建筑,研究
350,36,1.3,黄金,194,建筑,资源
300,36,1.3,木材,195,建筑,资源
250,36,1.3,石头,196,建筑,资源
100,36,1.3,工具,197,建筑,资源
1,36,,写作,198,建筑,研究
300,37,1.5,研究点,199,建筑,资源
300,37,1.5,石头,200,建筑,资源
1,37,,幸运石,201,建筑,资源
1,37,,灵感大厅,202,建筑,祈祷
800,38,2,黄金,203,建筑,资源
500,38,2,木材,204,建筑,资源
500,38,2,石头,205,建筑,资源
250,38,2,工具,206,建筑,资源
1,38,,写作,207,建筑,研究
1,38,,智慧大厅,208,建筑,传承
300,39,1.6,黄金,209,建筑,资源
400,39,1.6,木材,210,建筑,资源
300,39,1.6,石头,211,建筑,资源
100,39,1.6,工具,212,建筑,资源
1,39,,铭记古人,213,建筑,研究
2000,40,1.4,黄金,217,建筑,资源
1200,40,1.4,木材,218,建筑,资源
900,40,1.4,石头,219,建筑,资源
1,40,,法师学院,220,建筑,祈祷
3000,41,1.3,黄金,221,建筑,资源
1000,41,1.3,木材,222,建筑,资源
750,41,1.3,石头,223,建筑,资源
500,41,1.3,工具,224,建筑,资源
200,41,1.3,原料,225,建筑,资源
1,41,,教育学,226,建筑,研究
6000,42,1.6,黄金,227,建筑,资源
4000,42,1.5,工具,228,建筑,资源
1000,42,1.4,原料,229,建筑,资源
1,42,,历史学硕士,230,建筑,研究
4500,43,,石头,231,建筑,资源
1,43,,教育学,232,建筑,研究
4500,44,,石头,235,建筑,资源
1,44,,教育学,236,建筑,研究
4500,45,,石头,239,建筑,资源
1,45,,教育学,240,建筑,研究
8,46,,书籍,243,建筑,建筑
8,46,,灵魂,244,建筑,建筑
15000,47,,研究点,248,建筑,资源
4000,47,,信念,249,建筑,资源
1,47,,灵魂图书馆,250,建筑,研究
2800,48,,法力,251,建筑,资源
500,48,,水晶,252,建筑,资源
1,48,,灵魂图书馆,253,建筑,研究
8000,49,1.4,黄金,254,建筑,资源
3000,49,1.4,石头,255,建筑,资源
1500,49,1.4,工具,256,建筑,资源
1000,49,1.3,原料,257,建筑,资源
1,49,,天文学,258,建筑,研究
8000,50,1.4,黄金,259,建筑,资源
4000,50,1.4,石头,260,建筑,资源
4000,50,1.3,信念,261,建筑,资源
2500,50,1.2,钢,262,建筑,资源
1500,50,1.2,法力,263,建筑,资源
1,50,,魔法高中,264,建筑,祈祷
12000,51,1.3,黄金,265,建筑,资源
4000,51,1.3,石头,266,建筑,资源
1000,51,1.3,水晶,267,建筑,资源
400,51,1.4,钠红石,268,建筑,资源
1,51,,研究区,269,建筑,研究
25000,52,1.5,黄金,270,建筑,资源
15000,52,1.5,木材,271,建筑,资源
8000,52,1.3,工具,272,建筑,资源
1500,52,1.5,钠红石,273,建筑,资源
1,52,,小岛前哨,274,建筑,研究
10,53,,栅栏组件,275,建筑,建筑
600,54,,木材,278,建筑,资源
120,54,,工具,279,建筑,资源
1,54,,防御工事,280,建筑,研究
15,55,,城墙组件,281,建筑,建筑
1,55,,栅栏,282,建筑,建筑
800,56,,石头,284,建筑,资源
200,56,,工具,285,建筑,资源
1,56,,防御工事,286,建筑,研究
1,56,,栅栏,287,建筑,建筑
12,57,,壁垒组件,288,建筑,建筑
1,57,,城墙,289,建筑,建筑
1,57,,壁垒,290,建筑,传承
2000,58,,石头,291,建筑,资源
1000,58,,工具,292,建筑,资源
1,58,,防御工事,293,建筑,研究
1,58,,城墙,294,建筑,建筑
1,58,,壁垒,295,建筑,传承
12,59,,磐石巨墙组件,296,建筑,建筑
1,59,,城墙,297,建筑,建筑
1,59,,泰坦之墙,298,建筑,研究
12000,60,,石头,301,建筑,资源
5000,60,,原料,302,建筑,资源
5000,60,,钢,303,建筑,资源
1,60,,城墙,304,建筑,建筑
1,60,,泰坦之墙,305,建筑,研究
1000,61,1.4,黄金,306,建筑,资源
800,61,1.4,木材,307,建筑,资源
800,61,1.4,石头,308,建筑,资源
500,61,1.4,铁,309,建筑,资源
250,61,1.4,工具,310,建筑,资源
1,61,,青铜加工,311,建筑,研究
700,62,1.5,黄金,312,建筑,资源
500,62,1.5,石头,313,建筑,资源
1,62,,幸运石,314,建筑,资源
1,62,,地下隧道,315,建筑,祈祷
2500,63,1.4,黄金,316,建筑,资源
1500,63,1.4,铁,317,建筑,资源
1500,63,1.4,工具,318,建筑,资源
1,63,,新兵训练营,319,建筑,研究
500,64,1.6,黄金,321,建筑,资源
300,64,1.5,木材,322,建筑,资源
300,64,1.5,石头,323,建筑,资源
300,64,1.3,铜,324,建筑,资源
200,64,1.3,工具,325,建筑,资源
1,64,,训练民兵,326,建筑,研究
2000,65,1.4,黄金,327,建筑,资源
500,65,1.4,铁,328,建筑,资源
500,65,1.4,工具,329,建筑,资源
200,65,1.4,原料,330,建筑,资源
1,65,,职业军人,331,建筑,研究
4500,66,1.3,黄金,332,建筑,资源
2500,66,1.3,铜,333,建筑,资源
2500,66,1.3,铁,334,建筑,资源
2500,66,1.3,工具,335,建筑,资源
1250,66,1.3,原料,336,建筑,资源
1,66,,佣兵前哨,337,建筑,研究
2000,67,1.4,木材,338,建筑,资源
1000,67,1.4,工具,339,建筑,资源
100,67,1.4,补给,340,建筑,资源
70,67,1.4,水晶,341,建筑,资源
1,67,,卡纳瓦先驱,342,建筑,研究
10000,68,2,黄金,343,建筑,资源
750,68,2,水晶,344,建筑,资源
750,68,2,钠红石,345,建筑,资源
1,68,,飞行,346,建筑,研究
3000,69,1.5,木材,347,建筑,资源
600,69,1.5,原料,348,建筑,资源
1,69,,攻城防御武器,349,建筑,研究
2500,70,1.4,黄金,350,建筑,资源
1500,70,1.4,铁,351,建筑,资源
1500,70,1.4,工具,352,建筑,资源
600,70,1.4,原料,353,建筑,资源
1,70,,围城工程师,354,建筑,研究
8000,71,1.4,石头,355,建筑,资源
600,71,1.4,水晶,356,建筑,资源
1,71,,魔法艺术教学,357,建筑,研究
1000,72,1.3,硝石,358,建筑,资源
500,72,1.3,水晶,359,建筑,资源
1,72,,地雷,360,建筑,研究
12000,73,1.5,黄金,361,建筑,资源
2000,73,1.5,铁,362,建筑,资源
2000,73,1.5,工具,363,建筑,资源
1000,73,1.5,原料,364,建筑,资源
500,73,1.5,补给,365,建筑,资源
1,73,,军事科学,366,建筑,研究
8000,74,1.2,石头,367,建筑,资源
6000,74,1.2,铁,368,建筑,资源
4000,74,1.2,原料,369,建筑,资源
4000,74,1.2,钢,370,建筑,资源
1,74,,战争部,371,建筑,研究
10000,75,1.4,黄金,373,建筑,资源
10000,75,1.3,信念,374,建筑,资源
8000,75,1.3,法力,375,建筑,资源
1,75,,魔法工坊,376,建筑,祈祷
12000,76,1.4,黄金,378,建筑,资源
2500,76,1.4,铁,379,建筑,资源
1000,76,1.4,钢,380,建筑,资源
1000,76,1.4,补给,381,建筑,资源
1,76,,军事战术,382,建筑,研究
15000,77,1.4,黄金,383,建筑,资源
5000,77,1.4,铁,384,建筑,资源
3000,77,1.4,钢,385,建筑,资源
2000,77,1.4,补给,386,建筑,资源
1,77,,老练的炮兵,387,建筑,研究
10000,78,,法力,388,建筑,资源
6000,78,,钠红石,389,建筑,资源
1,78,,准备作战,390,建筑,研究
15000,79,1.2,信念,391,建筑,资源
12000,79,1.2,法力,392,建筑,资源
7500,79,1.2,马,393,建筑,资源
1,79,,魔法马厩,394,建筑,祈祷
125000,80,1.3,石头,398,建筑,资源
25000,80,1.3,法力,399,建筑,资源
17500,80,1.3,信念,400,建筑,资源
1,80,,重建堡垒,401,建筑,祈祷
12,81,,市中心组件,404,建筑,建筑
1500,82,,黄金,413,建筑,资源
750,82,,木材,414,建筑,资源
750,82,,石头,415,建筑,资源
500,82,,铜,416,建筑,资源
250,82,,铁,417,建筑,资源
250,82,,工具,418,建筑,资源
1,82,,结束远古时代,419,建筑,研究
8,83,,超大集市组件,420,建筑,建筑
4000,84,,黄金,427,建筑,资源
150,84,,奶牛,428,建筑,资源
100,84,,马,429,建筑,资源
1,84,,集市与市场,430,建筑,研究
8,85,,大教堂组件,431,建筑,建筑
4000,86,,黄金,440,建筑,资源
1500,86,,木材,441,建筑,资源
1000,86,,石头,442,建筑,资源
400,86,,原料,443,建筑,资源
400,86,,补给,444,建筑,资源
100,86,,水晶,445,建筑,资源
1,86,,宗教秩序,446,建筑,研究
12,87,,自由思想家学院组件,447,建筑,建筑
14000,88,,黄金,452,建筑,资源
1200,88,,钢,453,建筑,资源
1000,88,,原料,454,建筑,资源
600,88,,补给,455,建筑,资源
300,88,,水晶,456,建筑,资源
1,88,,结束封建时代,457,建筑,研究
6,89,,超级大炮组件,458,建筑,建筑
1,89,,大型防御计划,459,建筑,研究
15000,90,,黄金,462,建筑,资源
1500,90,,铁,463,建筑,资源
1500,90,,工具,464,建筑,资源
500,90,,钢,465,建筑,资源
250,90,,硝石,466,建筑,资源
1,90,,大型防御计划,467,建筑,研究
8,91,,难民区组件,468,建筑,建筑
12000,92,,木材,474,建筑,资源
12000,92,,石头,475,建筑,资源
8000,92,,铜,476,建筑,资源
6000,92,,铁,477,建筑,资源
6000,92,,工具,478,建筑,资源
1,92,,解决危机,479,建筑,祈祷
5,93,,证券交易所组件,480,建筑,建筑
70000,94,,黄金,484,建筑,资源
6000,94,,钢,485,建筑,资源
4500,94,,原料,486,建筑,资源
1,94,,商业垄断,487,建筑,研究
4,95,,法力之塔组件,488,建筑,建筑
6000,96,,信念,490,建筑,资源
2000,96,,原料,491,建筑,资源
1000,96,,水晶,492,建筑,资源
1,96,,东部圣地,493,建筑,击杀敌人
1,96,,西部圣地,494,建筑,击杀敌人
1,96,,北部圣地,495,建筑,击杀敌人
1,96,,南部圣地,496,建筑,击杀敌人
10,97,,法力深井组件,497,建筑,建筑
24000,98,,石头,500,建筑,资源
6000,98,,钢,501,建筑,资源
2000,98,,水晶,502,建筑,资源
2000,98,,硝石,503,建筑,资源
1,98,,法力应用,504,建筑,研究
4,99,,英雄事迹大厅组件,505,建筑,建筑
7000,100,,研究点,509,建筑,资源
7000,100,,木材,510,建筑,资源
7000,100,,石头,511,建筑,资源
3000,100,,原料,512,建筑,资源
1,100,,肃清怪物,513,建筑,研究
8,101,,海湾区组件,514,建筑,建筑
80000,102,,黄金,522,建筑,资源
30000,102,,木材,523,建筑,资源
20000,102,,石头,524,建筑,资源
7000,102,,原料,525,建筑,资源
7000,102,,钢,526,建筑,资源
1000,102,,钠红石,527,建筑,资源
1,102,,海湾计划,528,建筑,研究
10,103,,光之城组件,529,建筑,建筑
125000,104,,黄金,533,建筑,资源
50000,104,,石头,534,建筑,资源
30000,104,,铜,535,建筑,资源
10000,104,,法力,536,建筑,资源
8000,104,,钠红石,537,建筑,资源
1,104,,钠红之城,538,建筑,研究
10,105,,钢铁宫殿组件,539,建筑,建筑
60000,106,,信念,542,建筑,资源
60000,106,,法力,543,建筑,资源
40000,106,,钢,544,建筑,资源
1,106,,钢铁宫殿,545,建筑,祈祷
10,107,,象牙塔组件,546,建筑,建筑
60000,108,,信念,551,建筑,资源
60000,108,,法力,552,建筑,资源
40000,108,,水晶,553,建筑,资源
1,108,,象牙塔,554,建筑,祈祷
12,109,,自动化联合体组件,555,建筑,建筑
250000,110,,黄金,562,建筑,资源
50000,110,,钢,563,建筑,资源
35000,110,,硝石,564,建筑,资源
35000,110,,法力,565,建筑,资源
20000,110,,钠红石,566,建筑,资源
1,110,,可复制零件,567,建筑,研究
10,111,,科布水晶组件,568,建筑,建筑
500000,112,,黄金,570,建筑,资源
10000,112,,钢,571,建筑,资源
20000,112,,水晶,572,建筑,资源
30000,112,,钠红石,573,建筑,资源
1,112,,复原科布水晶,574,建筑,研究
25,113,,凯旋门组件,575,建筑,建筑
350000,114,,黄金,576,建筑,资源
150000,114,,石头,577,建筑,资源
150000,114,,工具,578,建筑,资源
60000,114,,钢,579,建筑,资源
60000,114,,信念,580,建筑,资源
1,114,,凯旋归来,581,建筑,研究
150,115,1.4,黄金,582,建筑,资源
120,115,1.4,木材,583,建筑,资源
80,115,1.4,石头,584,建筑,资源
1,115,,陶器,585,建筑,研究
1200,116,1.4,黄金,590,建筑,资源
600,116,1.4,木材,591,建筑,资源
400,116,1.4,铜,592,建筑,资源
400,116,1.4,铁,593,建筑,资源
400,116,1.4,工具,594,建筑,资源
1,116,,货币,595,建筑,研究
700,117,1.5,黄金,596,建筑,资源
500,117,1.5,石头,597,建筑,资源
1,117,,幸运石,598,建筑,资源
1,117,,幸运之井,599,建筑,祈祷
600,118,1.6,黄金,600,建筑,资源
400,118,1.6,木材,601,建筑,资源
400,118,1.6,石头,602,建筑,资源
250,118,1.6,工具,603,建筑,资源
1,118,,区域市场,604,建筑,研究
1500,119,1.5,黄金,605,建筑,资源
500,119,1.5,工具,606,建筑,资源
200,119,1.5,原料,607,建筑,资源
1,119,,丰饶之谷,608,建筑,研究
2000,120,1.4,黄金,609,建筑,资源
1000,120,1.4,木材,610,建筑,资源
1000,120,1.4,石头,611,建筑,资源
400,120,1.4,工具,612,建筑,资源
200,120,1.4,原料,613,建筑,资源
200,120,1.4,钢,614,建筑,资源
1,120,,银行业,615,建筑,研究
5000,121,1.4,黄金,616,建筑,资源
2500,121,1.4,石头,617,建筑,资源
1500,121,1.4,工具,618,建筑,资源
500,121,1.4,原料,619,建筑,资源
1,121,,各国大使馆,620,建筑,研究
4000,122,1.5,黄金,621,建筑,资源
3000,122,1.5,木材,622,建筑,资源
1000,122,1.5,工具,623,建筑,资源
500,122,1.5,原料,624,建筑,资源
1,122,,安全的道路,625,建筑,研究
20000,123,2.5,黄金,626,建筑,资源
5000,123,1.5,石头,627,建筑,资源
2500,123,1.5,钢,628,建筑,资源
1,123,,金库,629,建筑,研究
15000,124,1.4,黄金,630,建筑,资源
3000,124,1.3,石头,631,建筑,资源
1500,124,1.3,钢,632,建筑,资源
1500,124,1.2,原料,633,建筑,资源
300,124,1.3,钠红石,634,建筑,资源
1,124,,金融市场,635,建筑,研究
12000,125,1.2,黄金,636,建筑,资源
10000,125,1.2,木材,637,建筑,资源
5000,125,1.2,铁,638,建筑,资源
4000,125,1.2,工具,639,建筑,资源
4000,125,1.2,原料,640,建筑,资源
2500,125,1.2,钢,641,建筑,资源
2500,125,1.2,钠红石,642,建筑,资源
1,125,,铁路,643,建筑,研究
12000,126,1.2,黄金,644,建筑,资源
10000,126,1.2,石头,645,建筑,资源
7500,126,1.2,钢,646,建筑,资源
5000,126,1.2,水晶,647,建筑,资源
3500,126,1.2,钠红石,648,建筑,资源
1,126,,基因中心,649,建筑,研究
80000,127,1.2,黄金,650,建筑,资源
80000,127,1.2,石头,651,建筑,资源
40000,127,1.2,原料,652,建筑,资源
25000,127,1.2,钢,653,建筑,资源
10000,127,1.2,钠红石,654,建筑,资源
1,127,,黄金工厂,655,建筑,祈祷
800,128,,木材,656,建筑,资源
600,128,,石头,657,建筑,资源
1,128,,神话学,658,建筑,研究
1500,129,,黄金,661,建筑,资源
200,129,,铜,662,建筑,资源
200,129,,铁,663,建筑,资源
1,129,,神话学,664,建筑,研究
1000,130,,研究点,665,建筑,资源
500,130,,石头,666,建筑,资源
1,130,,神话学,667,建筑,研究
1500,131,1.4,黄金,669,建筑,资源
1000,131,1.4,木材,670,建筑,资源
1000,131,1.4,石头,671,建筑,资源
500,131,1.4,铜,672,建筑,资源
500,131,1.4,铁,673,建筑,资源
500,131,1.4,工具,674,建筑,资源
1,131,,宗教,675,建筑,研究
500,132,,石头,676,建筑,资源
500,132,,信念,677,建筑,资源
1,132,,神谕,678,建筑,研究
500,133,1.4,信念,679,建筑,资源
1,133,,幸运石,680,建筑,资源
1,133,,命运神殿,681,建筑,祈祷
1000,134,1.4,黄金,682,建筑,资源
500,134,1.4,工具,683,建筑,资源
150,134,1.8,奶牛,684,建筑,资源
80,134,1.8,马,685,建筑,资源
1,134,,神明的祭品,686,建筑,祈祷
2000,135,1.4,石头,687,建筑,资源
1000,135,1.4,铜,688,建筑,资源
700,135,1.4,信念,689,建筑,资源
1,135,,魔法,690,建筑,研究
500,136,1.4,黄金,691,建筑,资源
500,136,1.4,木材,692,建筑,资源
500,136,1.4,石头,693,建筑,资源
200,136,1.3,工具,694,建筑,资源
1,136,,隐居生活,695,建筑,研究
400,137,1.6,信念,697,建筑,资源
400,137,1.4,法力,698,建筑,资源
1,137,,财富圣地,699,建筑,研究
1500,138,1.3,信念,700,建筑,资源
1000,138,1.3,法力,701,建筑,资源
1,138,,法力场,702,建筑,祈祷
750,139,1.5,原料,703,建筑,资源
500,139,1.5,钢,704,建筑,资源
200,139,1.5,水晶,705,建筑,资源
1,139,,法力传送带,706,建筑,研究
8000,140,1.4,石头,707,建筑,资源
5000,140,1.3,原料,708,建筑,资源
3000,140,1.4,信念,709,建筑,资源
2000,140,1.3,水晶,710,建筑,资源
1,140,,神之荣耀,711,建筑,研究
800,141,1.3,法力,712,建筑,资源
200,141,1.3,硝石,713,建筑,资源
1,141,,炼金术反应,714,建筑,研究
8000,142,1.2,石头,717,建筑,资源
4000,142,1.2,原料,718,建筑,资源
3000,142,1.2,信念,719,建筑,资源
2000,142,1.2,水晶,720,建筑,资源
1,142,,宗教部,721,建筑,研究
8000,143,1.5,黄金,727,建筑,资源
3000,143,1.5,石头,728,建筑,资源
2000,143,1.5,工具,729,建筑,资源
300,143,1.5,水晶,730,建筑,资源
1,143,,圣职者军团,731,建筑,研究
5,144,,门之解密,732,建筑,建筑
1,144,,亡者之门,733,建筑,研究
15000,145,,研究点,734,建筑,资源
2500,145,,法力,735,建筑,资源
700,145,,水晶,736,建筑,资源
1,145,,亡者之门,737,建筑,研究
20000,146,,石头,738,建筑,资源
8000,146,,工具,739,建筑,资源
4800,146,,原料,740,建筑,资源
1,146,,法力之塔,741,建筑,建筑
1,146,,东部力量咒语,742,建筑,祈祷
1,146,,西部力量咒语,743,建筑,祈祷
1,146,,北部力量咒语,744,建筑,祈祷
1,146,,南部力量咒语,745,建筑,祈祷
2500,147,1.3,信念,746,建筑,资源
1000,147,1.5,水晶,747,建筑,资源
800,147,1.3,钠红石,748,建筑,资源
1,147,,与自然沟通,749,建筑,研究
10000,148,,法力,750,建筑,资源
8000,148,,钠红石,751,建筑,资源
1,148,,城市的奇迹,752,建筑,研究
15000,149,1.2,法力,753,建筑,资源
15000,149,1.2,硝石,754,建筑,资源
7500,149,1.2,钠红石,755,建筑,资源
1,149,,法力反应堆,756,建筑,研究
80000,150,1.2,黄金,758,建筑,资源
80000,150,1.2,石头,759,建筑,资源
25000,150,1.2,水晶,760,建筑,资源
10000,150,1.2,钠红石,761,建筑,资源
1,150,,法力工厂,762,建筑,祈祷
500,151,1.4,木材,763,建筑,资源
300,151,1.4,石头,764,建筑,资源
150,151,1.4,工具,765,建筑,资源
1,151,,存储,766,建筑,研究
400,152,1.3,木材,767,建筑,资源
400,152,1.3,石头,768,建筑,资源
200,152,1.3,工具,769,建筑,资源
1,152,,远古库存,770,建筑,研究
2000,153,1.3,木材,773,建筑,资源
1000,153,1.3,石头,774,建筑,资源
500,153,1.3,工具,775,建筑,资源
400,153,1.2,原料,776,建筑,资源
400,153,1.2,钢,777,建筑,资源
1,153,,大存储空间,778,建筑,研究
3000,154,1.3,木材,779,建筑,资源
2000,154,1.3,石头,780,建筑,资源
1000,154,1.3,工具,781,建筑,资源
700,154,1.2,原料,782,建筑,资源
700,154,1.2,钢,783,建筑,资源
1,154,,存储区,784,建筑,研究
3000,155,1.2,铁,785,建筑,资源
1000,155,1.2,原料,786,建筑,资源
1500,155,1.2,钢,787,建筑,资源
1,155,,存放贵重材料,788,建筑,研究
4000,156,1.2,铁,791,建筑,资源
1500,156,1.2,原料,792,建筑,资源
2000,156,1.2,钢,793,建筑,资源
1,156,,存储区,794,建筑,研究
2500,157,1.2,钢,797,建筑,资源
1500,157,1.2,法力,798,建筑,资源
1,157,,钠红石存储,799,建筑,研究
20000,158,1.2,石头,800,建筑,资源
8500,158,1.2,原料,801,建筑,资源
8000,158,1.2,钢,802,建筑,资源
1,158,,公共交通,803,建筑,研究
30000,159,1.1,黄金,807,建筑,资源
25000,159,1.1,木材,808,建筑,资源
10000,159,1.1,原料,809,建筑,资源
8000,159,1.1,补给,810,建筑,资源
2500,159,1.1,钠红石,811,建筑,资源
1,159,,踏上旅途,812,建筑,研究
22000,160,1.1,木材,818,建筑,资源
16000,160,1.1,石头,819,建筑,资源
8000,160,1.1,工具,820,建筑,资源
3000,160,1.1,钠红石,821,建筑,资源
1,160,,定居点开发,822,建筑,研究
22000,161,1.1,木材,824,建筑,资源
10000,161,1.1,工具,825,建筑,资源
10000,161,1.1,原料,826,建筑,资源
3000,161,1.1,钠红石,827,建筑,资源
1,161,,工匠联合体,828,建筑,研究
24000,162,1.1,木材,832,建筑,资源
20000,162,1.1,石头,833,建筑,资源
11000,162,1.1,原料,834,建筑,资源
