amount,goal,goal_key,name,source_line,type
,德鲁伊,druid,采矿,琢石 采矿 铁加工 教育学 卡纳瓦先驱 锻钢 集市与市场 印刷机 圣职者军团 机械化 孤独的德鲁伊,research
,德鲁伊,druid,铁加工,琢石 采矿 铁加工 教育学 卡纳瓦先驱 锻钢 集市与市场 印刷机 圣职者军团 机械化 孤独的德鲁伊,research
,德鲁伊,druid,教育学,琢石 采矿 铁加工 教育学 卡纳瓦先驱 锻钢 集市与市场 印刷机 圣职者军团 机械化 孤独的德鲁伊,research
,德鲁伊,druid,卡纳瓦先驱,琢石 采矿 铁加工 教育学 卡纳瓦先驱 锻钢 集市与市场 印刷机 圣职者军团 机械化 孤独的德鲁伊,research
,德鲁伊,druid,锻钢,琢石 采矿 铁加工 教育学 卡纳瓦先驱 锻钢 集市与市场 印刷机 圣职者军团 机械化 孤独的德鲁伊,research
,德鲁伊,druid,集市与市场,琢石 采矿 铁加工 教育学 卡纳瓦先驱 锻钢 集市与市场 印刷机 圣职者军团 机械化 孤独的德鲁伊,research
,德鲁伊,druid,印刷机,琢石 采矿 铁加工 教育学 卡纳瓦先驱 锻钢 集市与市场 印刷机 圣职者军团 机械化 孤独的德鲁伊,research
,德鲁伊,druid,圣职者军团,琢石 采矿 铁加工 教育学 卡纳瓦先驱 锻钢 集市与市场 印刷机 圣职者军团 机械化 孤独的德鲁伊,research
,德鲁伊,druid,机械化,琢石 采矿 铁加工 教育学 卡纳瓦先驱 锻钢 集市与市场 印刷机 圣职者军团 机械化 孤独的德鲁伊,research
,德鲁伊,druid,孤独的德鲁伊,琢石 采矿 铁加工 教育学 卡纳瓦先驱 锻钢 集市与市场 印刷机 圣职者军团 机械化 孤独的德鲁伊,research
,德鲁伊,druid,结束远古时代,结束远古时代 月明之夜 结束封建时代 火药 魔法艺术教学 研究区 城市的奇迹,research
,德鲁伊,druid,月明之夜,结束远古时代 月明之夜 结束封建时代 火药 魔法艺术教学 研究区 城市的奇迹,research
,德鲁伊,druid,结束封建时代,结束远古时代 月明之夜 结束封建时代 火药 魔法艺术教学 研究区 城市的奇迹,research
,德鲁伊,druid,火药,结束远古时代 月明之夜 结束封建时代 火药 魔法艺术教学 研究区 城市的奇迹,research
,德鲁伊,druid,魔法艺术教学,结束远古时代 月明之夜 结束封建时代 火药 魔法艺术教学 研究区 城市的奇迹,research
,德鲁伊,druid,研究区,结束远古时代 月明之夜 结束封建时代 火药 魔法艺术教学 研究区 城市的奇迹,research
,德鲁伊,druid,城市的奇迹,结束远古时代 月明之夜 结束封建时代 火药 魔法艺术教学 研究区 城市的奇迹,research
,德鲁伊,druid,工匠公会,（工匠公会）或者（农业 存储 饲育 教育学 食物保存）,research
,德鲁伊,druid,农业,（工匠公会）或者（农业 存储 饲育 教育学 食物保存）,research
,德鲁伊,druid,存储,（工匠公会）或者（农业 存储 饲育 教育学 食物保存）,research
,德鲁伊,druid,饲育,（工匠公会）或者（农业 存储 饲育 教育学 食物保存）,research
,德鲁伊,druid,教育学,（工匠公会）或者（农业 存储 饲育 教育学 食物保存）,research
,德鲁伊,druid,食物保存,（工匠公会）或者（农业 存储 饲育 教育学 食物保存）,research
,德鲁伊,druid,给声誉但是非必要的：每5个生产建筑给的研究,（给声誉但是非必要的：每5个生产建筑给的研究，光荣游行，欢乐的国度，经济学，生产制造）,note
,德鲁伊,druid,光荣游行,（给声誉但是非必要的：每5个生产建筑给的研究，光荣游行，欢乐的国度，经济学，生产制造）,research
,德鲁伊,druid,欢乐的国度,（给声誉但是非必要的：每5个生产建筑给的研究，光荣游行，欢乐的国度，经济学，生产制造）,research
,德鲁伊,druid,经济学,（给声誉但是非必要的：每5个生产建筑给的研究，光荣游行，欢乐的国度，经济学，生产制造）,research
,德鲁伊,druid,生产制造,（给声誉但是非必要的：每5个生产建筑给的研究，光荣游行，欢乐的国度，经济学，生产制造）,research
,德鲁伊,druid,解决危机,解决危机 龙之骨 接受德鲁伊 孤独的德鲁伊,prayer
,德鲁伊,druid,龙之骨,解决危机 龙之骨 接受德鲁伊 孤独的德鲁伊,prayer
,德鲁伊,druid,接受德鲁伊,解决危机 龙之骨 接受德鲁伊 孤独的德鲁伊,prayer
,德鲁伊,druid,孤独的德鲁伊,解决危机 龙之骨 接受德鲁伊 孤独的德鲁伊,prayer
15,德鲁伊,druid,普通房屋3宅邸,15普通房屋3宅邸,building
3,德鲁伊,druid,采石3木匠工坊3食品杂货店3钢铁厂1炼金实验室,3采石3木匠工坊3食品杂货店3钢铁厂1炼金实验室,building
,德鲁伊,druid,市中心,市中心 自由思想家学院 难民区 法力深井,building
,德鲁伊,druid,自由思想家学院,市中心 自由思想家学院 难民区 法力深井,building
,德鲁伊,druid,难民区,市中心 自由思想家学院 难民区 法力深井,building
,德鲁伊,druid,法力深井,市中心 自由思想家学院 难民区 法力深井,building
5,德鲁伊,druid,工匠作坊3市场,5工匠作坊3市场,building
3,德鲁伊,druid,大学,3大学,building
4,德鲁伊,druid,守望者前哨,4守望者前哨,building
1,德鲁伊,druid,寺庙,1寺庙,building
1,德鲁伊,druid,工匠公会,（1工匠公会）或者（1大学5农场1木匠工坊1食品杂货店1马厩）,building
1,德鲁伊,druid,大学5农场1木匠工坊1食品杂货店1马厩,（1工匠公会）或者（1大学5农场1木匠工坊1食品杂货店1马厩）,building
,德鲁伊,druid,最少只需1人口，产量不足自加建筑数量,最少只需1人口，产量不足自加建筑数量,note
,德鲁伊,druid,造200战士即过德鲁伊,造200战士即过德鲁伊，150即自杀,note
150,德鲁伊,druid,即自杀,造200战士即过德鲁伊，150即自杀,building
,德鲁伊,druid,设置好的automation文件已发，带上了打了能加声誉的怪的名单,设置好的automation文件已发，带上了打了能加声誉的怪的名单,note
,灭世,annihilator,神圣之怒,神圣之怒→解锁战斗天使,research
,灭世,annihilator,解锁战斗天使,神圣之怒→解锁战斗天使,research
,灭世,annihilator,登攀者世界的海岸,登攀者世界的海岸 小岛前哨 兽人的威胁  精灵衰变 传送门 划定疆界 黑暗之地 卫星 激活信号机器,research
,灭世,annihilator,小岛前哨,登攀者世界的海岸 小岛前哨 兽人的威胁  精灵衰变 传送门 划定疆界 黑暗之地 卫星 激活信号机器,research
,灭世,annihilator,兽人的威胁,登攀者世界的海岸 小岛前哨 兽人的威胁  精灵衰变 传送门 划定疆界 黑暗之地 卫星 激活信号机器,research
,灭世,annihilator,精灵衰变,登攀者世界的海岸 小岛前哨 兽人的威胁  精灵衰变 传送门 划定疆界 黑暗之地 卫星 激活信号机器,research
,灭世,annihilator,传送门,登攀者世界的海岸 小岛前哨 兽人的威胁  精灵衰变 传送门 划定疆界 黑暗之地 卫星 激活信号机器,research
,灭世,annihilator,划定疆界,登攀者世界的海岸 小岛前哨 兽人的威胁  精灵衰变 传送门 划定疆界 黑暗之地 卫星 激活信号机器,research
,灭世,annihilator,黑暗之地,登攀者世界的海岸 小岛前哨 兽人的威胁  精灵衰变 传送门 划定疆界 黑暗之地 卫星 激活信号机器,research
,灭世,annihilator,卫星,登攀者世界的海岸 小岛前哨 兽人的威胁  精灵衰变 传送门 划定疆界 黑暗之地 卫星 激活信号机器,research
,灭世,annihilator,激活信号机器,登攀者世界的海岸 小岛前哨 兽人的威胁  精灵衰变 传送门 划定疆界 黑暗之地 卫星 激活信号机器,research
,灭世,annihilator,欢乐的国度,欢乐的国度 踏上旅途 兽人堡垒  精灵古物 调查深渊 奥术研究 光耀广场 信号 研究灭世终焉,research
,灭世,annihilator,踏上旅途,欢乐的国度 踏上旅途 兽人堡垒  精灵古物 调查深渊 奥术研究 光耀广场 信号 研究灭世终焉,research
,灭世,annihilator,兽人堡垒,欢乐的国度 踏上旅途 兽人堡垒  精灵古物 调查深渊 奥术研究 光耀广场 信号 研究灭世终焉,research
,灭世,annihilator,精灵古物,欢乐的国度 踏上旅途 兽人堡垒  精灵古物 调查深渊 奥术研究 光耀广场 信号 研究灭世终焉,research
,灭世,annihilator,调查深渊,欢乐的国度 踏上旅途 兽人堡垒  精灵古物 调查深渊 奥术研究 光耀广场 信号 研究灭世终焉,research
,灭世,annihilator,奥术研究,欢乐的国度 踏上旅途 兽人堡垒  精灵古物 调查深渊 奥术研究 光耀广场 信号 研究灭世终焉,research
,灭世,annihilator,光耀广场,欢乐的国度 踏上旅途 兽人堡垒  精灵古物 调查深渊 奥术研究 光耀广场 信号 研究灭世终焉,research
,灭世,annihilator,信号,欢乐的国度 踏上旅途 兽人堡垒  精灵古物 调查深渊 奥术研究 光耀广场 信号 研究灭世终焉,research
,灭世,annihilator,研究灭世终焉,欢乐的国度 踏上旅途 兽人堡垒  精灵古物 调查深渊 奥术研究 光耀广场 信号 研究灭世终焉,research
,灭世,annihilator,远大梦想,远大梦想 人类的至暗时刻 兽人部落 古物洞穴 辉烬 地下房间 火箭技术 解密信号 制造灭世终焉 信号机器,research
,灭世,annihilator,人类的至暗时刻,远大梦想 人类的至暗时刻 兽人部落 古物洞穴 辉烬 地下房间 火箭技术 解密信号 制造灭世终焉 信号机器,research
,灭世,annihilator,兽人部落,远大梦想 人类的至暗时刻 兽人部落 古物洞穴 辉烬 地下房间 火箭技术 解密信号 制造灭世终焉 信号机器,research
,灭世,annihilator,古物洞穴,远大梦想 人类的至暗时刻 兽人部落 古物洞穴 辉烬 地下房间 火箭技术 解密信号 制造灭世终焉 信号机器,research
,灭世,annihilator,辉烬,远大梦想 人类的至暗时刻 兽人部落 古物洞穴 辉烬 地下房间 火箭技术 解密信号 制造灭世终焉 信号机器,research
,灭世,annihilator,地下房间,远大梦想 人类的至暗时刻 兽人部落 古物洞穴 辉烬 地下房间 火箭技术 解密信号 制造灭世终焉 信号机器,research
,灭世,annihilator,火箭技术,远大梦想 人类的至暗时刻 兽人部落 古物洞穴 辉烬 地下房间 火箭技术 解密信号 制造灭世终焉 信号机器,research
,灭世,annihilator,解密信号,远大梦想 人类的至暗时刻 兽人部落 古物洞穴 辉烬 地下房间 火箭技术 解密信号 制造灭世终焉 信号机器,research
,灭世,annihilator,制造灭世终焉,远大梦想 人类的至暗时刻 兽人部落 古物洞穴 辉烬 地下房间 火箭技术 解密信号 制造灭世终焉 信号机器,research
,灭世,annihilator,信号机器,远大梦想 人类的至暗时刻 兽人部落 古物洞穴 辉烬 地下房间 火箭技术 解密信号 制造灭世终焉 信号机器,research
,灭世,annihilator,长途探险,长途探险 海湾计划 城市的奇迹 航海 被烧毁的农场 凯旋归来 黑色古物 俯瞰黑暗 勘测周围区域 无人机,research
,灭世,annihilator,海湾计划,长途探险 海湾计划 城市的奇迹 航海 被烧毁的农场 凯旋归来 黑色古物 俯瞰黑暗 勘测周围区域 无人机,research
,灭世,annihilator,城市的奇迹,长途探险 海湾计划 城市的奇迹 航海 被烧毁的农场 凯旋归来 黑色古物 俯瞰黑暗 勘测周围区域 无人机,research
,灭世,annihilator,航海,长途探险 海湾计划 城市的奇迹 航海 被烧毁的农场 凯旋归来 黑色古物 俯瞰黑暗 勘测周围区域 无人机,research
,灭世,annihilator,被烧毁的农场,长途探险 海湾计划 城市的奇迹 航海 被烧毁的农场 凯旋归来 黑色古物 俯瞰黑暗 勘测周围区域 无人机,research
,灭世,annihilator,凯旋归来,长途探险 海湾计划 城市的奇迹 航海 被烧毁的农场 凯旋归来 黑色古物 俯瞰黑暗 勘测周围区域 无人机,research
,灭世,annihilator,黑色古物,长途探险 海湾计划 城市的奇迹 航海 被烧毁的农场 凯旋归来 黑色古物 俯瞰黑暗 勘测周围区域 无人机,research
,灭世,annihilator,俯瞰黑暗,长途探险 海湾计划 城市的奇迹 航海 被烧毁的农场 凯旋归来 黑色古物 俯瞰黑暗 勘测周围区域 无人机,research
,灭世,annihilator,勘测周围区域,长途探险 海湾计划 城市的奇迹 航海 被烧毁的农场 凯旋归来 黑色古物 俯瞰黑暗 勘测周围区域 无人机,research
,灭世,annihilator,无人机,长途探险 海湾计划 城市的奇迹 航海 被烧毁的农场 凯旋归来 黑色古物 俯瞰黑暗 勘测周围区域 无人机,research
,灭世,annihilator,解决危机,解决危机 龙之骨 接受德鲁伊 孤独的德鲁伊,prayer
,灭世,annihilator,龙之骨,解决危机 龙之骨 接受德鲁伊 孤独的德鲁伊,prayer
,灭世,annihilator,接受德鲁伊,解决危机 龙之骨 接受德鲁伊 孤独的德鲁伊,prayer
,灭世,annihilator,孤独的德鲁伊,解决危机 龙之骨 接受德鲁伊 孤独的德鲁伊,prayer
15,灭世,annihilator,普通房屋3宅邸,15普通房屋3宅邸,building
3,灭世,annihilator,采石3木匠工坊3食品杂货店3钢铁厂1炼金实验室,3采石3木匠工坊3食品杂货店3钢铁厂1炼金实验室,building
,灭世,annihilator,市中心,市中心 自由思想家学院 难民区 法力深井 海湾区,building
,灭世,annihilator,自由思想家学院,市中心 自由思想家学院 难民区 法力深井 海湾区,building
,灭世,annihilator,难民区,市中心 自由思想家学院 难民区 法力深井 海湾区,building
,灭世,annihilator,法力深井,市中心 自由思想家学院 难民区 法力深井 海湾区,building
,灭世,annihilator,海湾区,市中心 自由思想家学院 难民区 法力深井 海湾区,building
5,灭世,annihilator,工匠作坊3市场,5工匠作坊3市场,building
3,灭世,annihilator,大学1卢雷齐亚雕像1岛屿前哨,3大学1卢雷齐亚雕像1岛屿前哨,building
4,灭世,annihilator,守望者前哨,4守望者前哨,building
1,灭世,annihilator,寺庙,1寺庙（寺庙可以多点，7500%加成都会卡信念）,building
,灭世,annihilator,寺庙可以多点,1寺庙（寺庙可以多点，7500%加成都会卡信念）,building
7500,灭世,annihilator,%加成都会卡信念,1寺庙（寺庙可以多点，7500%加成都会卡信念）,building
12,灭世,annihilator,定居点大厅1辉烬工厂,12定居点大厅1辉烬工厂 治疗圣所 3禁锢单元,building
,灭世,annihilator,治疗圣所,12定居点大厅1辉烬工厂 治疗圣所 3禁锢单元,building
3,灭世,annihilator,禁锢单元,12定居点大厅1辉烬工厂 治疗圣所 3禁锢单元,building
5,灭世,annihilator,光之信标5光耀广场,5光之信标5光耀广场 信号机器,building
,灭世,annihilator,信号机器,5光之信标5光耀广场 信号机器,building
1,灭世,annihilator,工匠公会,（1工匠公会）或者（1大学5农场1木匠工坊1食品杂货店1马厩）,building
1,灭世,annihilator,大学5农场1木匠工坊1食品杂货店1马厩,（1工匠公会）或者（1大学5农场1木匠工坊1食品杂货店1马厩）,building
,灭世,annihilator,最少只需2人口，产量不足自加建筑数量,最少只需2人口，产量不足自加建筑数量,note
,灭世,annihilator,设置好的automation文件已发，需要传承中点出满乐土的战斗天使,设置好的automation文件已发，需要传承中点出满乐土的战斗天使,note
