attribute,entity_id,name,row_num,sheet,value
上限,29,钢,160,建筑,250
,30,原料,162,建筑,0.2
,30,钢,163,建筑,0.2
,30,水晶,164,建筑,0.1
,30,补给,165,建筑,0.1
,31,炼金术士,167,建筑,1
硝石,31,炼金术士,168,建筑,0.02
上限,31,硝石,169,建筑,200
,32,伐木工,172,建筑,1
,32,石工,173,建筑,1
木材,32,伐木工,174,建筑,0.03
石头,32,石工,175,建筑,0.03
上限,32,木材,176,建筑,800
上限,32,石头,177,建筑,800
,33,钠红石精炼工,178,建筑,1
钠红石,33,钠红石精炼工,179,建筑,0.02
上限,33,钠红石,180,建筑,200
,34,工匠,183,建筑,1
工具,34,工匠,184,建筑,0.03
原料,34,木匠,185,建筑,0.03
钢,34,炼钢工人,186,建筑,0.03
补给,34,供应商,187,建筑,0.03
,35,原料,188,建筑,0.2
,35,钢,189,建筑,0.2
,35,水晶,190,建筑,0.2
,35,补给,191,建筑,0.2
,35,硝石,192,建筑,0.1
,35,钠红石,193,建筑,0.1
,36,研究点,194,建筑,0.4
,36,研究点,195,建筑,0.01
上限,36,研究点,196,建筑,1000
,37,研究点,199,建筑,2
,38,研究点,203,建筑,1
,38,研究点,204,建筑,0.03
上限,38,研究点,205,建筑,2000
,39,黄金,209,建筑,0.02
,39,木材,210,建筑,0.02
,39,石头,211,建筑,0.02
,39,铜,212,建筑,0.02
,39,铁,213,建筑,0.02
,39,工具,214,建筑,0.02
,39,信念,215,建筑,0.02
,39,法力,216,建筑,0.02
,40,研究点,217,建筑,2
上限,40,研究点,218,建筑,1000
上限,40,信念,219,建筑,400
,41,教授,221,建筑,1
,41,研究点,222,建筑,0.02
上限,41,研究点,223,建筑,1500
上限,41,水晶,224,建筑,50
,42,研究点,227,建筑,2
,42,研究点,228,建筑,0.02
上限,42,研究点,229,建筑,2500
,43,研究点,231,建筑,2
上限,43,军队,232,建筑,15
,43,菲里奥雕像,233,建筑,-1
,43,卢雷齐亚雕像,234,建筑,-1
,44,研究点,235,建筑,5
,44,信念,236,建筑,10
,44,阿塔玛雕像,237,建筑,-1
,44,卢雷齐亚雕像,238,建筑,-1
,45,研究点,239,建筑,2
,45,法力,240,建筑,10
,45,阿塔玛雕像,241,建筑,-1
,45,菲里奥雕像,242,建筑,-1
,46,声誉,243,建筑,150
,46,食物,244,建筑,5
,46,法力,245,建筑,10
,46,研究点,246,建筑,0.05
,46,食物,247,建筑,0.05
,49,星学家,254,建筑,1
上限,49,研究点,255,建筑,2500
上限,49,水晶,256,建筑,100
,50,研究点,259,建筑,4
,50,法力,260,建筑,4
,50,水晶,261,建筑,0.6
,50,研究点,262,建筑,0.02
,50,法力,263,建筑,0.02
,50,水晶,264,建筑,0.02
,51,研究员,265,建筑,1
上限,51,研究点,266,建筑,4000
,52,研究点,270,建筑,2
上限,52,研究点,271,建筑,6000
防御,53,城市,275,建筑,25
,53,声誉,276,建筑,25
上限,53,军队,277,建筑,5
防御,55,城市,281,建筑,50
,55,声誉,282,建筑,50
上限,55,军队,283,建筑,10
防御,57,城市,288,建筑,200
,57,声誉,289,建筑,70
上限,57,军队,290,建筑,20
,59,声誉,296,建筑,150
防御,59,城市,297,建筑,2000
,59,原料,298,建筑,5
,59,钢,299,建筑,5
,59,补给,300,建筑,5
上限,61,军队,306,建筑,3
防御,62,城市,312,建筑,40
上限,62,军队,313,建筑,2
防御,63,弓箭手,316,建筑,1
防御,63,方阵步兵,317,建筑,1
防御,63,战士,318,建筑,1
防御,63,轻骑兵,319,建筑,1
上限,63,军队,320,建筑,12
上限,64,军队,321,建筑,5
防御,64,城市,322,建筑,5
攻击,65,弓箭手,327,建筑,1
防御,65,长矛兵,328,建筑,1
攻击,65,战士,329,建筑,1
防御,65,重装战士,330,建筑,1
上限,65,军队,331,建筑,5
攻击,66,佣兵,332,建筑,2
攻击,66,白色连队,333,建筑,2
防御,66,卡纳瓦护卫,334,建筑,2
上限,66,军队,335,建筑,4
攻击,67,城市,338,建筑,2
防御,67,城市,339,建筑,8
上限,67,军队,340,建筑,2
攻击,68,城市,343,建筑,4
防御,68,城市,344,建筑,20
攻击,69,城市,347,建筑,12
防御,69,城市,348,建筑,2
攻击,70,投石机,350,建筑,2
攻击,70,巨型投石机,351,建筑,2
攻击,71,城市,355,建筑,18
防御,71,城市,356,建筑,10
,71,法力,357,建筑,2
攻击,72,城市,358,建筑,25
攻击,73,弩手,361,建筑,2
攻击,73,火绳枪兵,362,建筑,2
防御,73,超重装战士,363,建筑,2
防御,73,骑士,364,建筑,2
上限,73,军队,365,建筑,10
攻击,74,火绳枪兵,367,建筑,3
攻击,74,重骑兵,368,建筑,3
上限,74,食物,369,建筑,2500
上限,74,补给,370,建筑,1000
上限,74,军队,371,建筑,15
,74,人口,372,建筑,2
防御,75,牧师,373,建筑,2
防御,75,圣职者,374,建筑,2
防御,75,神圣魔像,375,建筑,4
,75,法力,376,建筑,5
,75,幸运石,377,建筑,1
攻击,76,线列步兵,378,建筑,3
攻击,76,加农炮,379,建筑,3
防御,76,将军,380,建筑,3
上限,76,军队,381,建筑,5
攻击,77,大炮,383,建筑,2
攻击,77,加农炮,384,建筑,2
防御,78,城市,388,建筑,50
攻击,79,轻骑兵,391,建筑,2
防御,79,轻骑兵,392,建筑,1
攻击,79,骑士,393,建筑,4
防御,79,骑士,394,建筑,2
攻击,79,重骑兵,395,建筑,5
防御,79,重骑兵,396,建筑,3
上限,79,军队,397,建筑,10
,80,食物,398,建筑,-120
,80,法力,399,建筑,-120
攻击,80,重装战士,400,建筑,12
防御,80,重装战士,401,建筑,12
攻击,80,弩手,402,建筑,11
防御,80,弩手,403,建筑,6
,81,声誉,404,建筑,50
,81,黄金,405,建筑,0.05
,81,木材,406,建筑,0.05
,81,石头,407,建筑,0.05
,81,铜,408,建筑,0.05
,81,铁,409,建筑,0.05
,81,工具,410,建筑,0.05
,81,人口,411,建筑,5
上限,81,军队,412,建筑,10
,83,声誉,420,建筑,100
,83,原料,421,建筑,0.25
,83,补给,422,建筑,0.25
,83,奶牛,423,建筑,0.05
,83,马,424,建筑,0.05
,83,补给,425,建筑,0.05
,83,原料,426,建筑,0.05
,85,声誉,431,建筑,100
,85,信念,432,建筑,3
,85,法力,433,建筑,3
,85,水晶,434,建筑,0.2
,85,信念,435,建筑,0.03
,85,法力,436,建筑,0.03
,85,水晶,437,建筑,0.03
上限,85,信念,438,建筑,1000
上限,85,法力,439,建筑,500
,87,声誉,447,建筑,150
,87,研究点,448,建筑,5
,87,水晶,449,建筑,0.2
,87,研究点,450,建筑,0.02
,87,水晶,451,建筑,0.02
攻击,89,城市,458,建筑,120
防御,89,城市,459,建筑,20
,89,声誉,460,建筑,100
上限,89,军队,461,建筑,25
,91,声誉,468,建筑,100
,91,原料,469,建筑,0.2
,91,补给,470,建筑,0.2
,91,钢,471,建筑,0.2
,91,人口,472,建筑,5
上限,91,军队,473,建筑,20
,93,声誉,480,建筑,200
,93,黄金,481,建筑,10
上限,93,黄金,482,建筑,50000
,93,商业垄断,483,建筑,1
,95,声誉,488,建筑,150
,95,法力,489,建筑,10
,97,声誉,497,建筑,150
,97,法力,498,建筑,50
上限,97,法力,499,建筑,2000
,99,声誉,505,建筑,200
,99,研究点,506,建筑,5
攻击,99,指挥官,507,建筑,25
防御,99,指挥官,508,建筑,25
,101,声誉,514,建筑,100
,101,黄金,515,建筑,5
,101,食物,516,建筑,5
上限,101,木材,517,建筑,10000
上限,101,石头,518,建筑,10000
上限,101,原料,519,建筑,2000
上限,101,钢,520,建筑,2000
上限,101,钠红石,521,建筑,2000
,103,声誉,529,建筑,250
,103,黄金,530,建筑,0.1
,103,钠红石,531,建筑,0.1
,103,人口,532,建筑,10
,105,声誉,539,建筑,300
,105,黄金,540,建筑,100
,105,人口,541,建筑,10
,107,声誉,546,建筑,200
,107,研究点,547,建筑,25
,107,法力,548,建筑,25
,107,研究点,549,建筑,0.1
,107,法力,550,建筑,0.1
,109,声誉,555,建筑,300
,109,原料,556,建筑,0.25
,109,钢,557,建筑,0.25
,109,补给,558,建筑,0.25
,109,水晶,559,建筑,0.25
,109,硝石,560,建筑,0.25
,109,钠红石,561,建筑,0.25
,111,声誉,568,建筑,100
,111,研究点,569,建筑,0.05
,113,声誉,575,建筑,1000
,115,工匠,582,建筑,1
木材,115,伐木工,583,建筑,0.02
石头,115,石工,584,建筑,0.02
食物,115,农民,585,建筑,0.02
工具,115,工匠,586,建筑,0.02
黄金,115,工匠,587,建筑,0.02
上限,115,黄金,588,建筑,250
上限,115,工具,589,建筑,100
,116,商人,590,建筑,1
黄金,116,商人,591,建筑,0.02
工具,116,工匠,592,建筑,0.02
黄金,116,工匠,593,建筑,0.02
上限,116,黄金,594,建筑,750
上限,116,工具,595,建筑,200
,117,黄金,596,建筑,2
,118,黄金,600,建筑,1
,118,黄金,601,建筑,0.02
上限,118,黄金,602,建筑,1000
,119,黄金,605,建筑,2
,119,食物,606,建筑,2
,120,黄金,609,建筑,2
,120,黄金,610,建筑,0.01
上限,120,黄金,611,建筑,2000
,121,研究点,616,建筑,2
,121,黄金,617,建筑,2
上限,121,军队,618,建筑,8
,122,黄金,621,建筑,2
上限,123,黄金,626,建筑,17500
,124,交易人,630,建筑,1
黄金,124,交易人,631,建筑,0.02
上限,124,黄金,632,建筑,4000
,125,黄金,636,建筑,0.5
,125,黄金,637,建筑,0.01
上限,125,黄金,638,建筑,4000
,125,人口,639,建筑,1
,126,黄金,644,建筑,1.4
,126,食物,645,建筑,1.2
上限,126,黄金,646,建筑,4000
上限,126,食物,647,建筑,2000
,127,黄金,650,建筑,8
,127,黄金,651,建筑,0.02
上限,127,黄金,652,建筑,12000
,128,食物,656,建筑,2
,128,木材,657,建筑,1
,128,石头,658,建筑,1
,128,战争神殿,659,建筑,-1
,128,心灵神殿,660,建筑,-1
上限,129,军队,661,建筑,15
,129,丰收神殿,662,建筑,-1
,129,心灵神殿,663,建筑,-1
,130,研究点,665,建筑,5
,130,法力,666,建筑,5
,130,战争神殿,667,建筑,-1
,130,丰收神殿,668,建筑,-1
,131,信念,669,建筑,0.8
上限,131,信念,670,建筑,350
,133,信念,679,建筑,3
,133,法力,680,建筑,3
,134,信念,682,建筑,1.2
,134,法力,683,建筑,1.2
上限,134,信念,684,建筑,500
上限,134,法力,685,建筑,250
,135,法力,687,建筑,1.5
上限,135,法力,688,建筑,200
,136,研究点,691,建筑,0.5
,136,食物,692,建筑,0.5
,136,信念,693,建筑,0.5
,136,法力,694,建筑,0.5
上限,136,研究点,695,建筑,500
上限,136,法力,696,建筑,200
,137,幸运石,697,建筑,1
,138,法力,700,建筑,4
上限,138,信念,701,建筑,400
上限,138,法力,702,建筑,400
,139,黄金,703,建筑,-10
,139,法力,704,建筑,5
上限,139,法力,705,建筑,200
,140,声誉,707,建筑,0.02
原料,141,木匠,712,建筑,0.02
钢,141,炼钢工人,713,建筑,0.02
补给,141,供应商,714,建筑,0.02
水晶,141,教授,715,建筑,0.02
硝石,141,炼金术士,716,建筑,0.02
,142,星学家,717,建筑,1
,142,信念,718,建筑,3
,142,法力,719,建筑,3
,142,信念,720,建筑,0.02
,142,法力,721,建筑,0.02
上限,142,信念,722,建筑,3000
上限,142,法力,723,建筑,3000
上限,142,水晶,724,建筑,2000
,142,幸运石,725,建筑,1
,142,人口,726,建筑,2
,143,信念,727,建筑,1.5
上限,143,信念,728,建筑,500
上限,143,法力,729,建筑,250
,144,声誉,732,建筑,100
,144,法力,733,建筑,5
,147,信念,746,建筑,2.5
,147,法力,747,建筑,2.5
上限,147,信念,748,建筑,750
上限,147,法力,749,建筑,500
,148,黄金,750,建筑,4
,148,食物,751,建筑,4
,149,法力,753,建筑,5
,149,钠红石,754,建筑,0.5
,149,法力,755,建筑,0.01
,149,钠红石,756,建筑,0.01
上限,149,法力,757,建筑,1250
,150,法力,758,建筑,20
,150,法力,759,建筑,0.02
上限,150,法力,760,建筑,12000
上限,151,木材,763,建筑,500
上限,151,石头,764,建筑,500
上限,151,铜,765,建筑,250
上限,151,铁,766,建筑,250
上限,152,研究点,767,建筑,500
上限,152,黄金,768,建筑,250
上限,152,木材,769,建筑,250
上限,152,石头,770,建筑,250
上限,152,信念,771,建筑,250
上限,152,法力,772,建筑,250
上限,153,木材,773,建筑,1200
上限,153,石头,774,建筑,1200
上限,153,铜,775,建筑,600
上限,153,铁,776,建筑,600
上限,153,工具,777,建筑,600
上限,154,木材,779,建筑,2500
上限,154,石头,780,建筑,2500
上限,154,铜,781,建筑,1500
上限,154,铁,782,建筑,1500
上限,154,工具,783,建筑,1500
上限,155,原料,785,建筑,400
上限,155,钢,786,建筑,400
上限,155,补给,787,建筑,200
上限,155,硝石,788,建筑,200
上限,155,水晶,789,建筑,100
上限,155,军队,790,建筑,2
上限,156,原料,791,建筑,1000
上限,156,钢,792,建筑,1000
上限,156,补给,793,建筑,800
上限,156,硝石,794,建筑,800
上限,156,水晶,795,建筑,500
上限,156,军队,796,建筑,4
上限,157,钠红石,797,建筑,600
,158,食物,800,建筑,0.6
,158,钠红石,801,建筑,0.3
,158,补给,802,建筑,0.1
上限,158,铁,803,建筑,2000
上限,158,铜,804,建筑,2000
上限,158,钠红石,805,建筑,1000
上限,158,军队,806,建筑,3
,159,农民,807,建筑,2
,159,伐木工,808,建筑,1
,159,石工,809,建筑,1
,159,黄金,810,建筑,-10
,159,食物,811,建筑,-5
上限,159,食物,812,建筑,500
上限,159,木材,813,建筑,5000
上限,159,石头,814,建筑,5000
上限,159,铜,815,建筑,3000
上限,159,铁,816,建筑,3000
上限,159,工具,817,建筑,3000
,160,伐木工,818,建筑,1
,160,石工,819,建筑,1
木材,160,伐木工,820,建筑,0.01
石头,160,石工,821,建筑,0.01
上限,160,木材,822,建筑,7500
上限,160,石头,823,建筑,7500
,161,矿工,824,建筑,1
,161,工匠,825,建筑,1
铜,161,矿工,826,建筑,0.01
铁,161,矿工,827,建筑,0.01
工具,161,工匠,828,建筑,0.01
上限,161,铜,829,建筑,5000
上限,161,铁,830,建筑,5000
上限,161,工具,831,建筑,5000
,162,炼金术士,832,建筑,1
硝石,162,炼金术士,833,建筑,0.01
上限,162,硝石,834,建筑,2000
,163,辉烬铸匠,837,建筑,1
辉烬,163,辉烬铸匠,838,建筑,0.02
上限,163,辉烬,839,建筑,100
,164,食物,842,建筑,2
,164,食物,843,建筑,0.02
,164,农民,844,建筑,2
食物,164,农民,845,建筑,0.02
上限,164,食物,846,建筑,1500
,165,钢,847,建筑,2
,165,钢,848,建筑,0.02
,165,炼钢工人,849,建筑,2
钢,165,炼钢工人,850,建筑,0.02
上限,165,钢,851,建筑,2500
,166,水晶,852,建筑,2
,166,水晶,853,建筑,0.02
,166,教授,854,建筑,2
水晶,166,教授,855,建筑,0.02
上限,166,水晶,856,建筑,1500
上限,167,食物,857,建筑,500
上限,167,水晶,858,建筑,500
上限,167,法力,859,建筑,250
上限,167,马,860,建筑,200
上限,167,军队,861,建筑,5
,167,人口,862,建筑,1
,168,研究点,863,建筑,2
,168,信念,864,建筑,1.5
,168,法力,865,建筑,1.5
,168,水晶,866,建筑,1
上限,168,研究点,867,建筑,3000
上限,168,食物,868,建筑,1500
,168,人口,869,建筑,3
,169,研究点,870,建筑,1.5
,169,法力,871,建筑,1.5
上限,169,研究点,872,建筑,2000
上限,169,法力,873,建筑,2000
,169,人口,874,建筑,1
,170,声誉,875,建筑,100
,170,研究点,876,建筑,25
,170,法力,877,建筑,25
,170,研究点,878,建筑,0.05
,170,法力,879,建筑,0.05
上限,170,研究点,880,建筑,15000
上限,170,法力,881,建筑,15000
,173,渔夫,888,建筑,2
食物,173,渔夫,889,建筑,0.02
黄金,173,商人,890,建筑,0.02
上限,173,食物,891,建筑,500
原料,174,木匠,894,建筑,0.03
钢,174,炼钢工人,895,建筑,0.03
硝石,174,炼金术士,896,建筑,0.03
钠红石,174,钠红石精炼工,897,建筑,0.03
上限,174,钠红石,898,建筑,250
,175,商人,901,建筑,1
,175,交易人,902,建筑,1
黄金,175,商人,903,建筑,0.03
黄金,175,交易人,904,建筑,0.03
上限,175,黄金,905,建筑,5000
,176,黄金,907,建筑,2
,176,黄金,908,建筑,0.02
,176,交易人,909,建筑,2
黄金,176,交易人,910,建筑,0.02
上限,176,黄金,911,建筑,7500
,177,农民,912,建筑,1
,177,饲育员,913,建筑,1
,177,供应商,914,建筑,1
食物,177,农民,915,建筑,0.03
奶牛,177,饲育员,916,建筑,0.03
马,177,饲育员,917,建筑,0.03
上限,177,食物,918,建筑,500
上限,177,奶牛,919,建筑,400
上限,177,马,920,建筑,200
上限,177,军队,921,建筑,10
,177,人口,922,建筑,2
防御,178,城市,923,建筑,50
攻击,178,神射手,924,建筑,1
防御,178,神射手,925,建筑,1
上限,179,原料,927,建筑,1000
上限,179,钢,928,建筑,1000
上限,179,补给,929,建筑,750
上限,179,硝石,930,建筑,750
上限,179,水晶,931,建筑,500
上限,180,木材,932,建筑,10000
上限,180,石头,933,建筑,10000
上限,180,铜,934,建筑,7500
上限,180,铁,935,建筑,7500
上限,180,工具,936,建筑,7500
,181,声誉,937,建筑,350
,181,黄金,938,建筑,0.15
,181,食物,939,建筑,0.15
,181,木材,940,建筑,0.15
,181,石头,941,建筑,0.15
,181,工具,942,建筑,0.15
,181,铜,943,建筑,0.15
,181,铁,944,建筑,0.15
上限,181,军队,945,建筑,30
,181,人口,946,建筑,15
,181,宝石,947,建筑,1
,184,军需官,959,建筑,1
攻击,184,重骑兵,960,建筑,2
防御,184,线列步兵,961,建筑,2
上限,184,军队,962,建筑,5
防御,185,城市,964,建筑,25
上限,185,食物,965,建筑,1500
上限,185,补给,966,建筑,1500
上限,185,钠红石,967,建筑,500
,186,军需官,969,建筑,1
防御,186,指挥官,970,建筑,3
攻击,186,将军,971,建筑,3
上限,186,军队,972,建筑,10
,187,声誉,974,建筑,350
攻击,187,城市,975,建筑,500
防御,187,城市,976,建筑,500
攻击,187,加农炮,977,建筑,20
防御,187,加农炮,978,建筑,40
上限,187,军队,979,建筑,50
,187,宝石,980,建筑,1
,189,食物,988,建筑,1
,189,工具,989,建筑,1
,189,信念,990,建筑,1
,189,法力,991,建筑,1
上限,189,食物,992,建筑,500
上限,189,信念,993,建筑,500
上限,189,法力,994,建筑,250
,189,人口,995,建筑,1
,190,黄金,996,建筑,3
,190,信念,997,建筑,3
,190,法力,998,建筑,3
上限,190,信念,999,建筑,1500
上限,190,法力,1000,建筑,1000
防御,190,神圣魔像,1001,建筑,2
防御,190,牧师,1002,建筑,4
,191,采集者,1003,建筑,1
,191,法力,1004,建筑,3
,191,法力,1005,建筑,0.03
上限,191,法力,1006,建筑,2000
,192,法力,1007,建筑,5
,192,法力,1008,建筑,0.03
上限,192,法力,1009,建筑,1500
,193,声誉,1011,建筑,350
,193,黄金,1012,建筑,0.25
,193,信念,1013,建筑,0.25
,193,法力,1014,建筑,0.25
防御,193,武僧,1015,建筑,15
防御,193,圣职者,1016,建筑,15
防御,193,战斗天使,1017,建筑,15
,193,宝石,1018,建筑,1
,195,黄金,1025,建筑,-250
,195,食物,1026,建筑,-150
,195,法力,1027,建筑,-100
,195,光明,1028,建筑,1
防御,196,城市,1030,建筑,250
上限,196,军队,1031,建筑,40
,197,伐木工,1037,建筑,3
,197,石工,1038,建筑,3
木材,197,伐木工,1039,建筑,0.05
石头,197,石工,1040,建筑,0.05
,198,黄金,1042,建筑,-200
,198,食物,1043,建筑,-100
,198,法力,1044,建筑,-50
防御,198,城市,1045,建筑,75
,198,光明,1046,建筑,1
,199,黄金,1047,建筑,-50
,199,法力,1048,建筑,-50
防御,199,城市,1049,建筑,150
,199,光明,1050,建筑,1
,200,黄金,1052,建筑,6
攻击,200,佣兵,1053,建筑,4
防御,200,佣兵,1054,建筑,4
攻击,200,白色连队,1055,建筑,7
防御,200,白色连队,1056,建筑,2
攻击,200,卡纳瓦护卫,1057,建筑,7
防御,200,卡纳瓦护卫,1058,建筑,7
上限,200,军队,1059,建筑,3
,201,教授,1060,建筑,2
,201,研究点,1061,建筑,0.04
上限,201,研究点,1062,建筑,5000
上限,201,水晶,1063,建筑,2500
,202,光明,1066,建筑,7
,202,奥术神殿,1067,建筑,-1
,202,邪恶神殿,1068,建筑,-1
,203,研究点,1069,建筑,25
,203,信念,1070,建筑,25
,203,法力,1071,建筑,200
,203,光明神殿,1072,建筑,-1
,203,邪恶神殿,1073,建筑,-1
攻击,204,精灵战士,1074,建筑,12
防御,204,精灵战士,1075,建筑,12
攻击,204,线列步兵,1076,建筑,12
防御,204,线列步兵,1077,建筑,12
攻击,204,钢铁骑士,1078,建筑,15
防御,204,钢铁骑士,1079,建筑,15
,204,光明神殿,1080,建筑,-1
,204,奥术神殿,1081,建筑,-1
,205,食物,1082,建筑,-5
,205,黄金,1083,建筑,2
,205,研究点,1084,建筑,2
,205,人口,1085,建筑,2
上限,205,军队,1086,建筑,5
,206,黄金,1087,建筑,-200
,206,法力,1088,建筑,-50
,206,水晶,1089,建筑,-10
,206,研究点,1090,建筑,8
,206,信念,1091,建筑,8
,206,幸运石,1092,建筑,2
,206,人口,1093,建筑,5
上限,206,军队,1094,建筑,12
上限,207,木材,1095,建筑,20000
上限,207,石头,1096,建筑,20000
上限,207,铜,1097,建筑,15000
上限,207,铁,1098,建筑,15000
上限,207,工具,1099,建筑,15000
上限,208,钠红石,1100,建筑,2000
上限,208,辉烬,1101,建筑,200
,209,声誉,1104,建筑,400
,211,声誉,1109,建筑,800
,211,黄金,1110,建筑,100
,211,法力,1111,建筑,100
上限,211,军队,1112,建筑,500
,213,矿工,1120,建筑,3
铜,213,矿工,1121,建筑,0.05
铁,213,矿工,1122,建筑,0.05
,214,辉烬,1124,建筑,0.4
,214,辉烬,1125,建筑,0.02
上限,214,法力,1126,建筑,5000
上限,214,辉烬,1127,建筑,500
攻击,215,机枪手,1129,建筑,4
攻击,215,钢铁骑士,1130,建筑,4
攻击,215,步枪手,1131,建筑,2
防御,215,步枪手,1132,建筑,2
上限,215,军队,1133,建筑,12
,216,黄金,1137,建筑,5
,216,黄金,1138,建筑,0.03
上限,216,黄金,1139,建筑,10000
攻击,216,火炮,1140,建筑,16
防御,216,火炮,1141,建筑,6
攻击,216,将军,1142,建筑,10
防御,216,将军,1143,建筑,15
,217,法力,1144,建筑,15
,217,法力,1145,建筑,0.05
上限,217,法力,1146,建筑,5000
,218,信念,1150,建筑,10
,218,信念,1151,建筑,0.03
上限,218,信念,1152,建筑,7000
攻击,218,战斗天使,1153,建筑,8
防御,218,战斗天使,1154,建筑,10
攻击,218,神圣魔像,1155,建筑,4
防御,218,神圣魔像,1156,建筑,8
,219,击败奖励,2,敌人,
,220,信念,4,敌人,0.5
,220,法力,5,敌人,0.5
,221,黄金,7,敌人,1
上限,221,黄金,8,敌人,800
,222,黄金,9,敌人,2
,222,光明,10,敌人,1
,223,声誉,11,敌人,70
,223,光明,12,敌人,1
,224,黄金,13,敌人,3
,224,辉烬,14,敌人,0.1
,225,声誉,15,敌人,50
,225,光明,16,敌人,1
,226,食物,17,敌人,1
,226,法力,18,敌人,1
,227,黄金,19,敌人,1
,227,食物,20,敌人,1
,228,木材,21,敌人,1
,228,铁,22,敌人,0.3
,228,人口,23,敌人,1
,229,木材,24,敌人,1
,229,石头,25,敌人,1
,229,铁,26,敌人,0.3
,229,人口,27,敌人,3
,230,声誉,28,敌人,30
,230,原料,29,敌人,0.1
,230,补给,30,敌人,0.1
,231,奶牛,31,敌人,0.3
,231,马,32,敌人,0.1
,231,补给,33,敌人,0.1
,232,铜,34,敌人,0.5
,232,铁,35,敌人,0.3
,233,声誉,36,敌人,30
,233,法力,37,敌人,1
,233,水晶,38,敌人,0.1
,234,木材,39,敌人,1
,234,石头,40,敌人,1
